Date,Open,High,Low,Close,Adj Close,Volume
1/26/2018,2893.5,2893.5,2893.5,2893.5,2893.5,0
1/29/2018,2893.5,2893.5,2893.5,2893.5,2893.5,0
1/30/2018,2893.5,2893.5,2893.5,2893.5,2893.5,0
1/31/2018,2893.5,2893.5,2893.5,2893.5,2893.5,0
2/1/2018,2785.5,2785.5,2785.5,2785.5,2785.5,0
2/2/2018,2785.5,2785.5,2785.5,2785.5,2785.5,0
2/5/2018,2785.5,2785.5,2785.5,2785.5,2785.5,0
2/6/2018,2785.5,2785.5,2785.5,2785.5,2785.5,0
2/7/2018,2448,2448,2448,2448,2448,0
2/8/2018,2448,2448,2448,2448,2448,0
2/9/2018,2448,2448,2448,2448,2448,0
2/12/2018,2448,2448,2448,2448,2448,0
2/13/2018,2448,2448,2448,2448,2448,0
2/14/2018,2448,2448,2448,2448,2448,0
2/15/2018,2448,2448,2448,2448,2448,0
2/16/2018,2448,2448,2448,2448,2448,0
2/20/2018,2448,2448,2448,2448,2448,0
2/21/2018,2448,2448,2448,2448,2448,0
2/22/2018,2448,2448,2448,2448,2448,0
2/23/2018,2448,2448,2448,2448,2448,0
2/26/2018,2385,2385,2385,2385,2385,0
2/27/2018,2385,2385,2385,2385,2385,0
2/28/2018,2385,2385,2385,2385,2385,0
3/1/2018,2385,2385,2385,2385,2385,0
3/2/2018,2385,2385,2385,2385,2385,0
3/5/2018,2020.5,2020.5,2020.5,2020.5,2020.5,0
3/6/2018,1863,1863,1863,1863,1863,0
3/7/2018,1750.5,1750.5,1624.5,1624.5,1624.5,0
3/8/2018,1624.5,1624.5,1624.5,1624.5,1624.5,0
3/9/2018,1624.5,1624.5,1624.5,1624.5,1624.5,0
3/12/2018,1624.5,1624.5,1624.5,1624.5,1624.5,0
3/13/2018,1624.5,1624.5,1624.5,1624.5,1624.5,0
3/14/2018,2097,2236.5,2097,2236.5,2236.5,0
3/15/2018,2236.5,2236.5,2236.5,2236.5,2236.5,0
